食物名称,能量,蛋白质,脂肪,碳水化合物
西瓜(郑州三号),26,0.6,0.1,5.7
西瓜(忠于6号，黑皮),32,0.5,0.5,6.5
子瓜,5,0.2,0.3,0.6
小西瓜[地雷瓜],30,0.8,0.1,6.7
黄心西瓜,41,0.6,0.1,9.5
火参果,41,1.5,0.9,8
黑美人西瓜,36,0.9,0.1,9.1
太阳洋香瓜,32,1.2,0,7.8
状元瓜,27,0.7,0.1,6.6
蜜世界洋香瓜,29,0.7,0.1,7.1
美浓瓜,37,1.1,0.2,8.8
黄香瓜,30,0.6,0.2,7.5
嘉玉甜瓜,43,1.3,0.1,10.4
新世纪哈密瓜,39,0.7,0,10.1
新疆哈蜜瓜,28,0.7,0.1,6.9
七股香洋香瓜,40,0.6,0.1,10.5
天香洋香瓜,44,0.8,0,11.6
秋香洋香瓜,34,1,0,8.4
红宝石洋香瓜,39,1.2,0,9.6
香华洋香瓜,30,0.7,0,7.7
蓝宝石洋香瓜,34,1.1,0,8.2
刺角瓜US,44,1.8,1.3,7.6
白金瓜（带皮带籽）,25,0.4,-,6.2
白金瓜（去皮去籽）,25,0.4,-,6.2
白兰瓜（带皮带籽）,23,0.6,0.1,5.3
白兰瓜（去皮去籽）,23,0.6,0.1,5.3
哈蜜瓜（带皮带籽）,34,0.5,0.1,7.9
哈蜜瓜（去皮去籽）,34,0.5,0.1,7.9
黄河蜜瓜（带皮带籽）,11,0.4,tr,4
黄河蜜瓜（去皮去籽）,11,0.4,tr,4
甜瓜（带皮带籽）,26,0.4,0.1,6.2
甜瓜（去皮去籽）,26,0.4,0.1,6.2
西瓜（带皮带籽）,31,0.5,0.3,6.8
西瓜（去皮去籽）,31,0.5,0.3,6.8
白果(干)[银杏],355,13.2,1.3,72.6
菠萝蜜,164,4.9,0.3,36.7
核桃(鲜),336,12.8,29.9,6.1
核桃(干)[胡桃],646,14.9,58.8,19.1
毛核桃,184,12,6.7,21.7
山核桃(干),616,18,50.4,26.2
栗子(鲜)[板栗],188,4.2,0.7,42.2
栗子(干)[板栗],348,5.3,1.7,78.4
栗子(熟)[板栗],214,4.8,1.5,46
松子(生),665,12.6,62.6,19
松子(炒),644,14.1,58.5,21.4
松子仁,718,13.4,70.6,12.2
杏仁,578,22.5,45.4,23.9
杏仁(大杏仁),540,19.9,42.9,27.8
杏仁(炒),618,25.7,51,18.7
杏仁(原味),596,21.3,50.6,19.7
杏仁(漂白后),602,21.9,50.6,19.9
杏仁(过油炸干),631,21.2,55.2,17.7
杏仁(烤干，不加盐),617,22.1,52.8,19.3
杏仁(烤干，加盐),617,22.1,52.8,19.3
橡实[橡子，青冈子],233,4,2,50.5
榛子(干),561,20,44.8,24.3
榛子(炒),611,30.5,50.3,13.1
山核桃(熟)[小核桃],658,8.3,64.5,21.3
栗子[板栗],186,4.4,1.6,39.6
栗子[板栗],192,4.4,1.4,41.9
栗子[板栗],168,4.4,1,36.3
栗子[板栗],182,3.8,0.9,40.7
栗子[板栗],183,4.3,1.1,39.9
栗子仁(熟),194,4.5,1.5,45.7
松子(熟),553,12.9,40.4,40.3
杏仁(熟，带壳),648,25.1,58.4,11
杏仁(熟，去壳),625,28,54.4,11.1
腰果(熟),615,24,50.9,20.4
榛子(熟),642,12.5,57.3,25.6
榛子仁(熟),628,15.6,52.9,26.7
开心果(熟),631,20.6,53,21.9
香榧(熟),644,12.4,57,26.9
巴旦木US,579,21.2,49.9,21.6
银杏（带壳）,355,13.2,1.3,72.6
银杏（去壳）,355,13.2,1.3,72.6
鲜核桃（带壳）,336,12.8,29.9,6.1
鲜核桃（去壳）,336,12.8,29.9,6.1
胡桃（带壳）,646,14.9,58.8,19.1
胡桃（去壳）,646,14.9,58.8,19.1
毛核桃（带壳）,184,12,6.7,21.7
毛核桃（去壳）,184,12,6.7,21.7
山核桃（带壳）,616,18,50.4,26.2
山核桃（去壳）,616,18,50.4,26.2
栗子(鲜，带壳）,188,4.2,0.7,42.2
栗子(鲜，去壳）,188,4.2,0.7,42.2
栗子(干，带壳）,348,5.3,1.7,78.4
栗子(干，去壳）,348,5.3,1.7,78.4
栗子(熟，带壳）,214,4.8,1.5,46
栗子(熟，去壳）,214,4.8,1.5,46
松子(生，带壳）,665,12.6,62.6,19
松子(生，去壳）,665,12.6,62.6,19
松子(炒，带壳）,644,14.1,58.5,21.4
松子(炒，去壳）,644,14.1,58.5,21.4
橡实（带壳）,233,4,2,50.5
橡实（去壳）,233,4,2,50.5
干榛子（带壳）,561,20,44.8,24.3
干榛子（去壳）,561,20,44.8,24.3
榛子(炒，带壳）,611,30.5,50.3,13.1
榛子(炒，去壳）,611,30.5,50.3,13.1
山核桃(熟，带壳）,658,8.3,64.5,21.3
山核桃(熟，去壳）,658,8.3,64.5,21.3
栗子（带壳）,183,4.3,1.1,39.9
栗子（去壳）,183,4.3,1.1,39.9
榛子(熟，带壳）,642,12.5,57.3,25.6
榛子(熟，去壳）,642,12.5,57.3,25.6
开心果仁,631,20.6,53,21.9
胡麻子,450,19.1,30.7,39.5
花生(鲜)[落花生，长生果],313,12,25.4,13
花生(炒),601,21.7,48,23.8
花生仁(生),574,24.8,44.3,21.7
花生仁(炒),589,23.9,44.4,25.7
葵花子(生),609,23.9,49.9,19.1
葵花子(炒，咸),625,22.6,52.8,17.3
葵花子仁,615,19.1,53.4,16.7
莲子(干),350,17.2,2,67.2
莲子(糖水罐头),202,2.8,0.5,46.9
南瓜子(炒)[白瓜子],582,36,46.1,7.9
南瓜子仁,576,33.2,48.1,4.9
西瓜子(炒),582,32.7,44.8,14.2
西瓜子(话梅),567,30.3,46.5,13.4
西瓜子仁,566,32.4,45.9,8.6
芝麻籽(白),536,18.4,39.6,31.5
芝麻籽(黑),559,19.1,46.1,24
芡实米(鲜)[鸡头米],145,4.4,0.2,31.5
芡实米(干)[鸡头米],352,8.3,0.3,79.6
花生(烤，勤俭牌),586,26.4,46.3,21.2
花生(烤，密日兴牌),475,16.6,22.3,55.9
花生仁(油炸),583,22.2,47.1,26.2
葵花子(熟，奶油香),620,22.7,54.1,17.9
葵花子(熟，原味),591,28.5,49,15.1
南瓜子(熟)[白瓜子],615,26.6,52.8,12.9
西瓜子(熟)[黑瓜子],550,29,46,9.5
花生(鲜，带壳）,313,12,25.4,13
花生(鲜，去壳）,313,12,25.4,13
花生(炒，带壳）,601,21.7,48,23.8
花生(炒，去壳）,601,21.7,48,23.8
葵花子(生，带壳）,609,23.9,49.9,19.1
葵花子(生，去壳）,609,23.9,49.9,19.1
南瓜子(炒，带壳）,582,36,46.1,7.9
南瓜子(炒，去壳）,582,36,46.1,7.9
西瓜子(炒，带壳）,582,32.7,44.8,14.2
西瓜子(炒，去壳）,582,32.7,44.8,14.2
西瓜子(话梅，带壳）,567,30.3,46.5,13.4
西瓜子(话梅，去壳）,567,30.3,46.5,13.4
南瓜子(熟，带壳）,615,26.6,52.8,12.9
南瓜子(熟，去壳）,615,26.6,52.8,12.9
西瓜子(熟，带壳）,550,29,46,9.5
西瓜子(熟，去壳）,550,29,46,9.5
猪肉（代表值，fat30g）,331,15.1,30.1,0
猪肉(肥，fat89g),807,2.4,88.6,0
猪肉(后臀尖),336,14.6,30.8,0
猪肉(后肘),320,17,28,0
猪肉(肋条肉),568,9.3,59,0
猪肉(奶脯)[软五花，猪夹心],349,7.7,35.3,0
猪肉(奶面)[硬五花],339,13.6,30.6,2.2
猪肉(前肘),287,17.3,22.9,2.9
猪肉(瘦）,143,20.3,6.2,1.5
猪肉（瘦，fat8g）,153,20.7,7.8,0
猪肉(腿),190,17.9,12.8,0.8
猪肉（fat12g）,181,19,11.7,0.2
猪肉(猪脖),577,8,60.5,0
猪大肠,196,6.9,18.7,0
猪大排,264,18.3,20.4,1.7
猪耳,176,19.1,11.1,0
猪蹄,260,22.6,18.8,0
猪蹄筋,156,35.3,1.4,0.5
猪头皮,499,11.8,44.6,12.7
猪肘棒,248,16.5,16,9.4
猪肉（前臀尖，杜长大猪）,289,15.3,25.3,0
猪肉（前臀尖，良杂猪）,334,14.2,30.4,0.9
猪肉（后臀尖，杜长大猪）,165,20.8,9.1,0
猪肉（后臀尖，良杂猪）,175,20,10.5,0
猪肉（硬肋，杜长大猪）,557,10.8,57.1,0
猪肉（硬肋，良杂猪）,536,11.6,54.4,0
猪肉（通脊，杜长大猪）,159,22.3,7.8,0
猪肉（通脊，良杂猪）,140,20.7,6.4,0
猪肉(里脊),150,19.6,7.9,0
猪皮,363,27.4,28.1,0
猪小排（杜长大猪）,295,16.8,25.3,0
猪小排（良杂猪）,351,14.1,32.7,0
猪腿肉（藏香猪）,268,17.5,19.2,6.3
猪肚,110,15.2,5.1,0.7
猪肺,84,12.2,3.9,0.1
猪脑,131,10.8,9.8,0
猪脾,94,13.2,3.2,3.1
猪肾（fat8g）[猪腰子],137,16,8.1,0
猪小肠,65,10,2,1.7
猪心,119,16.6,5.3,1.1
猪血,55,12.2,0.3,0.9
猪肚,97,14.1,3.5,2.2
猪肝,126,19.2,4.7,1.8
猪舌[口条],184,18.1,12.4,0
猪肾（fat2g）[猪腰子],82,15.8,1.8,0.6
宫爆肉丁(罐头),353,17.7,27.6,8.4
酱汁肉,549,15.5,50.4,8.4
腊肉(培根),181,22.3,9,2.6
腊肉(生，fat49g),498,11.8,48.8,2.9
卤猪杂,186,24.6,4.8,11
午餐肉（北京）,229,9.4,15.9,12
咸肉,390,16.5,36,0
猪肉罐头（珍珠里脊丝，罐头),225,6.7,17.3,10.5
猪肝(卤煮),203,26.4,8.3,5.6
猪肉(清蒸),198,18.4,13.8,0
猪蹄(熟),260,23.6,17,3.2
猪肘棒(熟),314,21.3,24.5,2.1
福建式肉松,493,25.1,26,39.7
老年保健肉松,458,35.8,20.5,32.5
太仓肉松,316,38.6,8.3,21.6
火腿心全精肉（雪舫蒋牌）,322,37,19.3,0
火腿心肉（生，金云牌）,528,22.2,48.8,0
腊肉（生，fat68g）,692,18.2,68,1.8
叉烧肉,196,20.9,9.8,6
酱排骨,366,21.7,26.7,9.6
猪肉罐头（香糟块肉）,542,15.5,53.3,0
猪里脊（熏烤小里脊）,153,17.7,3.9,11.8
猪肉脯,378,28,8.8,46.6
肉酥,509,30.7,27.1,35.5
扒猪脸,347,18.8,29.6,1.4
酱肘子,202,29.6,8.5,1.8
火腿肉（藏香猪）,503,29.1,40.7,5
风干肉（藏香猪）,598,27.1,53.6,1.7
茶肠,329,9,29.6,6.7
大腊肠,267,12.9,20.1,8.6
大肉肠,273,12,22.9,4.6
蛋清肠,278,12.5,22.8,5.8
儿童肠,290,13.1,19.6,15.3
风干肠,283,12.4,23.3,5.9
广东香肠,433,18,37.3,6.4
红果肠,260,10.2,15.3,20.3
火腿肠,212,14,10.4,15.6
腊肠,584,22,48.3,15.3
松江肠,402,12.3,26.5,28.5
蒜肠,309,7.5,25.4,12.7
香肠,508,24.1,40.7,11.2
香肠(罐头),290,7.9,28.1,1.3
火腿肠（小红肠）,280,11.8,23.2,6
火腿肠（小泥肠）,295,11.3,26.3,3.2
午餐肠,261,2.9,16.6,24.9
午餐肚,181,9.3,0.5,34.7
方腿,117,16.2,5,1.9
火腿（fat27g）,330,16,27.4,4.9
金华火腿,318,16.4,28,0.1
火腿肠（圆腿）,139,18.4,6.5,1.6
脆皮肠,302,16.6,24,4.8
热狗肠,307,13.2,25.2,6.9
火腿肠（双汇牌）,215,12.1,14.6,8.8
火腿（fat3g）,99,15.5,3.4,1.7
火腿（宣威牌）,565,11.4,56.1,3.7
三明治火腿,115,12.5,4.5,6.1
午餐肉（上海梅林牌）,320,9,30.1,3.3
猪尾US,378,17.8,33.5,0
猪后肘（带骨）,320,17,28,0
猪后肘肉,320,17,28,0
猪五花肉（带皮）,349,7.7,35.3,0
猪五花肉（去皮）,349,7.7,35.3,0
猪前肘（带骨）,287,17.3,22.9,2.9
猪前肘肉,287,17.3,22.9,2.9
猪大排（带骨）,264,18.3,20.4,1.7
猪大排（去骨）,264,18.3,20.4,1.7
猪蹄（带骨）,260,22.6,18.8,0
猪蹄（去骨）,260,22.6,18.8,0
猪肘棒（带骨）,248,16.5,16,9.4
猪肘棒（去骨）,248,16.5,16,9.4
猪小排（带骨）,351,14.1,32.7,0
猪小排（去骨）,351,14.1,32.7,0
熟猪蹄（带骨）,260,23.6,17,3.2
熟猪蹄（去骨）,260,23.6,17,3.2
熟猪肘棒（带骨）,314,21.3,24.5,2.1
熟猪肘棒（去骨）,314,21.3,24.5,2.1
生火腿心肉（带骨）,528,22.2,48.8,0
生火腿心肉（去骨）,528,22.2,48.8,0
酱排骨（带骨）,366,21.7,26.7,9.6
酱排骨（去骨）,366,21.7,26.7,9.6
牛肉（代表值，fat9g）,160,20,8.7,0.5
牛肉(肋条),123,18.6,5.4,0
牛肉(后腿),106,20.9,2,1.1
牛肉(后腱),98,20.1,1,2.2
牛肉(里脊肉)[牛柳],107,22.2,0.9,2.4
牛肉(前腿),105,19.2,1.8,2.9
牛肉(前腱),113,20.3,1.3,5.1
牛肉(代表值，瘦，fat3g）,113,21.3,2.5,1.3
牛蹄筋（生）,151,34.1,0.5,2.6
牛蹄筋(泡发),25,6,Tr,0.2
牛肉（背部肉）[上脑],193,17.4,12.4,3
牛肉(里脊肉)[牛柳],134,22.3,5.0,0.0
牛肉(臀部肉)[紫盖、白板）,117,22.6,2.6,0.9
牛肉(肩部肉)[肩肉],342,14.1,31.7,0
牛肉(胸部肉)[牛胸],326,16.6,28.8,0
牛肉(腹部肉)[牛腩],332,17.1,29.3,0
牛肉(膝圆肉)[和尚头],106,22.4,1.8,0.1
牛肉(股内肉)[针扒、米龙、黄瓜条],119,22.8,2.9,0.4
牛肉(小腿肉)[牛展、牛腱子],122,23,3.3,0
牦牛肉,119,23.1,1.4,3.4
牦牛牛腱肉（冻，鲜）,100,21.2,0.8,2
牦牛牛霖肉（冻，鲜）,110,22.5,1,2.7
牛鞭(泡发),117,27.2,0.9,0
牛大肠,66,11,2.3,0.4
牛肚,72,14.5,1.6,0
牛肺,95,16.5,2.5,1.5
牛肝,139,19.8,3.9,6.2
牛脑,149,12.5,11,0.1
牛舌,196,17,13.3,2
牛肾,94,15.6,2.4,2.6
牛心,106,15.4,3.5,3.1
牛百叶（黑）,70,13.2,1.9,0
酱牛肉,246,31.4,11.9,3.2
煨牛肉(罐头),166,16.7,11,0.1
牛肉干,550,45.6,40,1.9
咖哩牛肉干,326,45.9,2.7,29.5
牛肉松,445,8.2,15.7,67.7
牛蹄筋(熟),147,35.2,0.6,0.1
牛肉（酱，五香）,229,33.2,10.7,0
牛肉（清香）,200,25.8,10.7,0
牛腱子（香叶）,205,35.6,5.5,3.2
牛肉干（长富牌）,342,41.8,5.1,32.2
牛肉干（沙爹牌）,327,40.1,3.6,33.6
牛小排（肥瘦分开）US,390,14.4,36.2,0.4
牛小排（瘦）US,175,19,10.2,0.4
牛后腱肉（带皮）,98,20.1,1,2.2
牛后腱肉（去皮）,98,20.1,1,2.2
牛前腱肉（带皮）,113,20.3,1.3,5.1
牛前腱肉（去皮）,113,20.3,1.3,5.1
羊肉(代表值，fat7g),139,18.5,6.5,1.6
羊肉(冻),285,12.6,24.4,3.8
羊肉(后腿，带骨),110,19.5,3.4,0.3
羊肉(颈),135,21.3,4.6,2.2
羊肉(里脊),103,20.5,1.6,1.6
羊肉(前腿，fat3g),110,18.6,3.2,1.6
羊肉(青羊),99,21.3,1.1,1
羊肉（fat4g）,118,20.5,3.9,0.2
羊肉(胸脯),133,19.4,6.2,0
山羊肉(生),293,8.7,24.5,9.4
羊蹄筋(生),159,34.3,2.4,0
羊蹄筋(泡发),41,8.4,Tr,1.9
羊肉（上脑）,94,19,2,0
羊肉（腰窝）,135,18.9,6.6,0
羊肉（前腿）,97,19.8,2,0
羊肉（后腿）,111,20.6,3.2,0
羊肉片,118,18,4,2.4
羊大肠,75,13.4,2.4,0
羊肚,87,12.2,3.4,1.8
羊肺,96,16.2,2.4,2.5
羊肝,134,17.9,3.6,7.4
羊脑,142,11.3,10.7,0.1
羊舌,225,19.4,14.2,4.8
羊肾,96,16.6,2.8,1
羊心,113,13.8,5.5,2
羊血,57,6.8,0.2,6.9
腊羊肉,246,26.1,10.6,11.5
羊肉(熟),217,23.2,13.8,0
羊肉串(电烤),234,26.4,11.6,6
羊肉串(烤),206,26,10.3,2.4
羊肉串(炸),217,18.3,11.5,10
羊肉干,588,28.2,46.7,13.7
羊肉（羊肉手抓）,188,27.3,8.8,0
山羊肉(酱),272,25.4,13.7,11.8
烧羊肉（五香）,183,33.6,5.4,0
羊肉串（生）,118,13,4.8,5.6
羊后腿（带骨）,110,19.5,3.4,0.3
羊后腿（去骨）,110,19.5,3.4,0.3
羊前腿（带骨）,110,18.6,3.2,1.6
羊前腿（去骨）,110,18.6,3.2,1.6
驴肉(瘦),116,21.5,3.2,0.4
驴鞭,143,29.7,0.8,4.3
驴肉(酱),160,33.7,2.8,0
驴肉(卤),149,27.2,1.9,5.8
驴肉(煮),230,27,13.5,0
驴肉（五香）,167,28.2,6,0
马肉,122,20.1,4.6,0.1
马心,104,18.9,2.7,1
马肉(卤),170,30.5,4.8,1.2
狗肉,116,16.8,4.6,1.8
骆驼蹄,116,25.6,1.4,0.2
骆驼掌,310,72.8,2,0.3
兔肉,102,19.7,2.2,0.9
兔肉(野),84,16.6,2,0
鹿肉（养殖梅花鹿）,92,19.7,1.3,0.3
鹿鞭【梅花鹿】,353,82.3,2,0.2
鹿鞭【新西兰马鹿】,387,85.8,4.3,Tr
鹿筋,371,87,1.9,0.1
鹿茸【梅花鹿】,—,61.4,1.3,/
鹿茸【麋鹿】,—,40.2,1.4,/
鹿肉【马鹿】,109,22.6,1.8,0.5
鹿肉【梅花鹿】,92,19.7,1.3,0.3
鹿尾【马鹿】,—,70.7,/,/
鹿尾【梅花鹿】,—,67.5,/,/
撒尿牛肉丸（安井）,198,14.2,12,8.4
黑胡椒肠（双汇）,338,10.5,30,7.5
鸡(均值),145,20.3,6.7,0.9
鸡(土鸡，家养),124,20.8,4.5,0
母鸡(一年内),256,20.3,16.8,5.8
肉鸡(肥),389,16.7,35.4,0.9
华青鸡,158,19.6,8.8,0
沙鸡,147,20,6.7,1.6
乌骨鸡,111,22.3,2.3,0.3
鸡爪,254,23.9,16.4,2.7
鸡胸脯肉,118,24.6,1.9,0.6
鸡腿,146,20.2,7.2,0
鸡翅,202,19,11.5,5.5
鸡块（带浆粉）,206,12.2,9.1,18.8
野山鸡,126,20.4,2,6.6
鸡肝,121,16.6,4.8,2.8
鸡肝(肉鸡),121,16.7,4.5,3.5
鸡心,172,15.9,11.8,0.6
鸡血,49,7.8,0.2,4.1
鸡肫[鸡胗],118,19.2,2.8,4
扒鸡,217,29.6,11,0
肯德鸡[炸鸡],279,20.3,17.3,10.5
卤煮鸡,212,29.4,7.9,5.8
瓦罐鸡汤(肉),190,20.9,9.5,5.2
瓦罐鸡汤(汤),27,1.3,2.4,0
鸡肉松,440,7.2,16.4,65.8
扒鸡(五香脱骨),206,23.4,10.8,3.8
烤鸡,265,28.1,16.9,0
童子鸡(熟),226,15.8,18.1,0
鸡软骨,107,20.4,2.2,0.5
土鸡肉（带骨）,124,20.8,4.5,0
土鸡肉（去骨）,124,20.8,4.5,0
母鸡肉（带骨）,256,20.3,16.8,5.8
母鸡肉（去骨）,256,20.3,16.8,5.8
肉鸡（带骨）,389,16.7,35.4,0.9
肉鸡（去骨）,389,16.7,35.4,0.9
华青鸡（带骨）,158,19.6,8.8,0
华青鸡（去骨）,158,19.6,8.8,0
沙鸡（带骨）,147,20,6.7,1.6
沙鸡（去骨）,147,20,6.7,1.6
乌骨鸡（带骨）,111,22.3,2.3,0.3
乌骨鸡（去骨）,111,22.3,2.3,0.3
鸡爪（带骨）,254,23.9,16.4,2.7
无骨鸡爪,254,23.9,16.4,2.7
鸡腿（带骨）,146,20.2,7.2,0
鸡腿肉,146,20.2,7.2,0
鸡翅（带骨）,202,19,11.5,5.5
鸡翅（去骨）,202,19,11.5,5.5
野山鸡（带骨）,126,20.4,2,6.6
野山鸡（去骨）,126,20.4,2,6.6
扒鸡（带骨）,217,29.6,11,0
扒鸡（去骨）,217,29.6,11,0
肯德炸鸡（带骨）,279,20.3,17.3,10.5
炸鸡肉,279,20.3,17.3,10.5
烤鸡（带骨）,265,28.1,16.9,0
烤鸡（去骨）,265,28.1,16.9,0
鸡肉（带骨）,145,20.3,6.7,0.9
鸡肉（去骨）,145,20.3,6.7,0.9
鸭(均值),240,15.5,19.7,0.2
公麻鸭,360,14.3,30.9,6.1
母麻鸭,461,13,44.8,1.4
鸭胸脯肉,90,15,1.5,4
鸭皮,538,6.5,50.2,15.1
鸭翅,146,16.5,6.1,6.3
鸭掌,150,26.9,1.9,6.2
鸭肠,129,14.2,7.8,0.4
鸭肝,128,14.5,7.5,0.5
鸭肝(公麻鸭),136,14.7,4.1,10.1
鸭肝(母麻鸭),113,16.8,2.5,5.9
鸭舌[鸭条],245,16.6,19.7,0.4
鸭心,143,12.8,8.9,2.9
鸭血(白鸭),108,13.6,0.4,12.4
鸭血(公麻鸭),56,13.2,0.4,0
鸭血(母麻鸭),55,13.1,0.3,0
鸭胰,117,21.7,2.9,1
鸭肫,92,17.9,1.3,2.1
鸭肫(公麻鸭),112,19.8,1.2,5.4
鸭肫(母麻鸭),126,20.4,4.2,1.6
鸭豉片,603,18.3,56.1,6.1
北京烤鸭,436,16.6,38.4,6
北京填鸭,425,9.3,41.3,3.9
红烧鸭(罐头),338,15.3,30.5,0.6
酱鸭,266,18.9,18.4,6.3
酱鸭(加梅菜，罐头),253,11.8,21.7,2.5
盐水鸭(熟),313,16.6,26.1,2.8
烤鸭（老唐牌）,309,20.3,25.3,0
烤鸭（全聚德牌）,530,18.1,50.8,0
公麻鸭（带骨）,360,14.3,30.9,6.1
公麻鸭（去骨）,360,14.3,30.9,6.1
母麻鸭（带骨）,461,13,44.8,1.4
母麻鸭（去骨）,461,13,44.8,1.4
鸭翅（带骨）,146,16.5,6.1,6.3
鸭翅（去骨）,146,16.5,6.1,6.3
鸭掌（带骨）,150,26.9,1.9,6.2
无骨鸭掌,150,26.9,1.9,6.2
北京烤鸭（带骨）,436,16.6,38.4,6
北京烤鸭（去骨）,436,16.6,38.4,6
北京填鸭（带骨）,425,9.3,41.3,3.9
北京填鸭（去骨）,425,9.3,41.3,3.9
酱鸭（带骨）,266,18.9,18.4,6.3
酱鸭（去骨）,266,18.9,18.4,6.3
烤鸭（带骨）,530,18.1,50.8,0
烤鸭肉,530,18.1,50.8,0
鸭肉（带骨）,240,15.5,19.7,0.2
鸭肉（去骨）,240,15.5,19.7,0.2
鹅,251,17.9,19.9,0
鹅肝,129,15.2,3.4,9.3
鹅肫,100,19.6,1.9,1.1
鹅血,74,18.6,0,0
烧鹅,289,19.7,21.5,4.2
腊鹅,410,24.6,21.5,29.6
鹅（带骨）,251,17.9,19.9,0
鹅（去骨）,251,17.9,19.9,0
烧鹅（带骨）,289,19.7,21.5,4.2
烧鹅肉,289,19.7,21.5,4.2
腊鹅（带骨）,410,24.6,21.5,29.6
腊鹅肉,410,24.6,21.5,29.6
火鸡腿肉,91,20,1.2,0
火鸡胸脯肉,103,22.4,0.2,2.8
火鸡肝,143,20,5.6,3.1
火鸡肫,91,18.9,0.3,3.2
火鸡腿（熟）,100,16.7,0.7,6.6
鸽,201,16.5,14.2,1.7
鹌鹑,110,20.2,3.1,0.2
乳鸽,352,11.3,34.1,0
乳鸽（红烧）,255,16.9,20.8,0
鸽（带骨）,201,16.5,14.2,1.7
鸽肉,201,16.5,14.2,1.7
鹌鹑（带骨）,110,20.2,3.1,0.2
鹌鹑肉,110,20.2,3.1,0.2
乳鸽（带骨）,352,11.3,34.1,0
乳鸽肉,352,11.3,34.1,0
红烧乳鸽（带骨）,255,16.9,20.8,0
红烧乳鸽（去骨）,255,16.9,20.8,0
纯牛奶（代表值，全脂）,65,3.3,3.6,4.9
纯牛奶(全脂，美国牛),59,2.9,3.2,4.6
纯牛奶(全脂，西德牛),60,3.1,3,5.1
纯牛奶(全脂，光明牌),61,3.1,3.2,5
纯牛奶(全脂，乐百氏牌),67,3.3,3.8,4.8
纯牛奶(全脂，帕玛拉特牌),61,3,3.1,5.3
纯牛奶(全脂，三元牌),69,3.4,3.9,5.1
纯牛奶(全脂，完达山牌),60,2.9,3.2,4.9
纯牛奶(全脂，龙丹牌),66,2.9,3.8,5.1
纯牛奶(全脂，蒙牛牌),67,3.1,3.7,5.3
纯牛奶(全脂，新南洋牌),67,3.1,3.8,5.1
纯牛奶(全脂，帕玛拉特),61,2.9,3.2,5.1
纯牛奶(全脂，伊利牌),68,3.2,3.7,5.4
纯牛奶（全脂，爱尔兰金凯利全脂牛奶）,62,3.2,3.6,4.1
纯牛奶（全脂，澳大利亚澳田纯牛奶）,62,3.6,3.5,3.9
纯牛奶（全脂，比利时纯牧牛奶）,61,3.5,3.4,4
纯牛奶（全脂，波兰美波全脂纯牛奶）,75,3.2,3.4,7.8
纯牛奶（全脂，丹麦爱氏晨曦有机全脂牛奶）,67,3.5,3.6,5.2
纯牛奶（全脂，德国爱氏晨曦纯牛奶）,68,3.4,3.6,5.5
纯牛奶（全脂，德国甘蒂牧场纯牛奶）,64,3.3,3.6,4.7
纯牛奶（全脂，法国得乐思全脂牛奶）,64,3.7,3.6,4.3
纯牛奶（全脂，光明纯牛奶）,60,3.4,3.4,4
纯牛奶（全脂，光明优+高品质纯牛奶）,67,3.6,3.8,4.5
纯牛奶（全脂，广泽澳醇纯牛奶）,63,3.5,3.6,4.1
纯牛奶（全脂，花园牌）,57,2.9,3.3,4
纯牛奶（全脂，辉山纯牛奶）,66,3.5,3.7,4.7
纯牛奶（全脂，龙丹松花江牧场纯牛奶）,67,3.6,3.7,4.8
纯牛奶（全脂，麦趣尔牌）,61,2.9,3.1,5.3
纯牛奶（全脂，蒙牛纯牛奶）,67,3.4,3.8,4.7
纯牛奶（全脂，蒙牛特仑苏有机纯牛奶）,69,3.4,4,4.9
纯牛奶（全脂，明治醇壹高温杀菌乳）,67,3.6,3.7,4.8
纯牛奶（全脂，瑞士艾美全脂牛奶）,70,3.2,3.5,6.4
纯牛奶（全脂，圣牧有机纯牛奶）,74,3.5,4.1,5.7
纯牛奶（全脂，天润牌浓缩纯奶）,67,3.2,3.5,5.7
纯牛奶（全脂，完达山纯牛奶）,66,3.5,4.2,3.6
纯牛奶（全脂，西域春牌）,59,2.9,3.1,4.8
纯牛奶（全脂，夏进纯牛奶）,63,3.5,3.5,4.4
纯牛奶（全脂，现代牧业纯牛奶）,66,3.3,3.6,5.1
纯牛奶（全脂，新希望复原乳）,63,3,3.6,4.6
纯牛奶（全脂，新希望千岛湖牧场纯牛奶）,62,3.2,3.5,4.3
纯牛奶（全脂，伊利纯牛奶）,66,3.4,3.9,4.2
纯牛奶（全脂，伊利金典有机纯牛奶）,73,3.5,4.1,5.4
纯牛奶（全脂，意大利培兰全脂纯牛奶）,63,3.5,3.6,4.2
纯牛奶(低脂，帕玛拉特),43,2.9,1.3,5
纯牛奶(代表值，低脂),47,3.5,1.5,4.8
纯牛奶（低脂，澳大利亚德运部分脱脂纯牛奶）,51,3.3,2,5
纯牛奶（低脂，德国艾德牧牌部分脱脂纯牛奶）,45,3.5,1.7,3.8
纯牛奶（低脂，蒙牛特仑苏低脂牛奶）,48,3.8,1.3,5.2
纯牛奶（低脂，明治醇壹低脂肪高温杀菌乳）,46,3.6,1.2,5.2
纯牛奶（低脂，新西兰安佳低脂牛奶）,51,3.8,1.5,5.5
纯牛奶（低脂，新西兰恒天然田园低脂牛奶）,45,3.7,1.7,3.8
纯牛奶（低脂，伊利金典低脂奶）,48,3.7,1.3,5.4
