食物名称,能量,蛋白质,脂肪,碳水化合物
豆腐干(代表值),197,14.9,11.3,9.6
豆腐干(菜干),137,13.4,7.1,5
豆腐干(臭干),99,10.2,4.6,4.5
豆腐干(酱油干),157,14.9,9.1,4
豆腐干(卤干),339,14.5,16.7,33.4
豆腐干(蒲包干),135,12.1,5.7,8.9
豆腐干(香干),152,15.8,7.8,5.1
豆腐干(小香干),174,17.9,9.1,5.4
豆腐干(熏干),154,15.8,6.2,8.8
豆肝尖,203,17.2,12,9.4
素大肠,155,18.1,3.6,13
素火腿,213,19.1,13.2,4.8
素鸡,194,16.5,12.5,4.2
素鸡丝卷,197,11.2,13.7,10.1
素什锦,177,14,10.2,8.3
炸素虾,582,27.6,44.4,19.3
烤麸,121,20.4,0.3,9.3
豆腐皮,447,51.6,23,12.5
腐竹（广西）,485,54.2,27.2,8.1
豆腐干,427,19.6,35.2,11.4
千页豆腐（安井）,89,11,3.6,3
鱼豆腐（安井）,133,11.3,4.8,11.1
腐竹（泡发）,201,19.4,9.4,9.7
广西腐竹（泡发）,211,23.6,11.8,3.5
绿豆(干),329,21.6,0.8,62
绿豆面,341,20.8,0.7,65.8
绿豆饼[饼折],122,15.2,1.2,12.7
赤小豆[小豆，红小豆](干),324,20.2,0.6,63.4
小豆粥,62,1.2,0.4,13.7
红豆沙（去皮）,244,4.5,0.1,57.1
红豆馅,261,4.5,0.2,61.7
花豆(干，红),328,19.1,1.3,62.7
花豆(干，紫),330,17.2,1.4,65.8
芸豆(干，白),315,23.4,1.4,57.2
芸豆(干，红),331,21.4,1.3,62.5
芸豆(干，虎皮),341,22.5,0.9,62.5
芸豆(干，杂，带皮),327,22.4,0.6,63.3
蚕豆(干),338,21.6,1,61.5
蚕豆(带皮),326,24.6,1.1,59.9
蚕豆(去皮),347,25.4,1.6,58.9
马牙大豆(干),338,27.2,0.9,59.4
脑豆(干),363,23.4,3.8,59.6
蚕豆(烤),377,27,2,63.8
蚕豆(炸)[开花豆],447,26.7,20,40.4
蚕豆(煮),62,4.8,0.5,10.1
扁豆(干),339,25.3,0.4,61.9
扁豆(干，白),283,19,1.3,55.6
眉豆[饭豇豆](干),334,18.6,1.1,65.6
豇豆(干),336,19.3,1.2,65.6
豇豆(干，紫),329,18.9,0.4,65.8
豇豆(煮),133,9.5,0.6,24
豌豆(干),334,20.3,1.1,65.8
豌豆(花),336,21.6,1,63.6
豌豆(煮),107,8.9,0.3,19.2
鹰嘴豆[桃豆],340,21.2,4.2,60.1
荆豆(干),407,43.6,14.3,28.5
木豆[扭豆，豆蓉](干),348,19.8,4.5,58.8
红腰豆,74,5,0,12.5
白萝卜(鲜）[莱菔],16,0.7,0.1,4
卞萝卜[红皮萝卜],18,0.8,0.1,4.2
红旦旦萝卜[樱桃萝卜，小水萝卜],19,0.8,Tr,4.3
红萝卜[卞萝卜],22,1,0.1,4.6
红心萝卜[心里美],41,1.2,Tr,9.8
花叶萝卜,48,1.2,0.1,11.5
水萝卜[脆萝卜],22,0.8,Tr,5.5
