食物名称,能量,蛋白质,脂肪,碳水化合物,serving_grams
蘑菇滑鸡片,,,,,
蘑菇炒白菜片,,,,,
菠菜鲜菇,,,,,
蘑菇扒油菜,,,,,
鲜拌腐竹,,,,,
腐竹烧草鱼,,,,,
草菇青笋汤,,,,,
番茄烩草菇,,,,,
香菇炒黄瓜,,,,,
白玉冬菇,,,,,
枸杞小米粥,,,,,
炝炒黄豆芽,,,,,
绿豆芽炒肉丁,,,,,
金瓜小米粥,,,,,
南瓜香米粥,,,,,
鸡丝拌豆皮,,,,,
豌豆炒茄子,,,,,
辣椒炒腐竹,,,,,
香芹炒腐竹,,,,,
豆干拌豆芽,,,,,
青瓜拌豆腐丝,,,,,
银芽肉丝,,,,,
苋菜烧嫰豆腐,,,,,
毛豆烩油菜,,,,,
红豆杂粮饭,,,,,
发面葱香饼,,,,,
炝炒韭菜绿豆芽,,,,,
荞麦面葱油饼,,,,,
家常发面烧饼,,,,,
香米饭,,,,,
甜米糕,,,,,
小米红枣南瓜粥,,,,,
二米粥,,,,,
红薯香米饭,,,,,
薏仁小米红枣粥,,,,,
鲜百合小米粥,,,,,
小米燕麦粥,,,,,
三色米糕,,,,,
南瓜米香饼,,,,,
小米大米粥,,,,,
鸡蛋炒凉瓜,,,,,
豆豉凉瓜,,,,,
辣椒回锅肉,,,,,
烧白玉,,,,,
番茄煨豆腐,,,,,
芹菜炒百合,,,,,
青笋肉片,,,,,
冬瓜烩肉片,,,,,
肉末烧冬瓜,,,,,
蘑菇烧肉,,,,,
苦瓜猪肉煲,,,,,
苦瓜烧牛肉,,,,,
蘑菇烧牛肉,,,,,
苦瓜排骨羹,,,,,
青椒烧鸡翅,,,,,
鸡丝青笋,,,,,
鸡丝拌黄瓜,,,,,
榛蘑炖鸡肉,,,,,
辣椒鸡肉丝,,,,,
家常黄瓜炒鸡蛋,,,,,
虾米烧冬瓜,,,,,
小米粥,,,,,
丝瓜炒土豆片,,,,,
红萝卜炒香芹,,,,,
萝卜刀鱼,,,,,
洋葱拌黄瓜,,,,,
茄子炖胡萝卜,,,,,
腐竹拌香芹,,,,,
冬瓜烧鸡,,,,,
小炒香菇瓜条,,,,,
韭菜豆芽炒香干,,,,,
小鸡焖冬瓜,,,,,
炒鲜蘑,,,,,
菌菇炒菜心,,,,,
蒜香小油菜,,,,,
蒜汁蒸茄子,,,,,
芹菜拌腐竹,,,,,
凉拌鸡丝茄子,,,,,
百合拌西红柿,,,,,
西红柿炖扁豆,,,,,
茄子辣椒烧土豆,,,,,
青椒香干,,,,,
辣椒炒洋葱,,,,,
鱿鱼炒辣椒,,,,,
茄汁茄条,,,,,
番茄烩山药,,,,,
番茄烧豆角,,,,,
西红柿虾仁,,,,,
凉拌西红柿,,,,,
西红柿烧鱼,,,,,
番茄大骨汤,,,,,
家常青椒土豆丝,,,,,
茄汁鲈鱼,,,,,
番茄炒花椰菜,,,,,
西红柿拌豆腐,,,,,
红焖番茄牛肉,,,,,
西红柿煎蛋,,,,,
西红柿火腿汤,,,,,
西红柿鱼片,,,,,
番茄莴笋,,,,,
清蒸白玉排骨,,,,,
凉瓜虾仁,,,,,
苦瓜炒鱿鱼丝,,,,,
凉瓜炒肉丝,,,,,
凉拌苋菜,,,,,
香甜玉米饭,,,,,
五谷养生饭,,,,,
燕麦香米粥,,,,,
萝卜蒸饭,,,,,
山楂枸杞粥,,,,,
小米家常煎饼,,,,,
秘制米粉蒸肉,,,,,
浓香小米粥,,,,,
家常香菇油菜,,,,,
香米南瓜粥,,,,,
烩冬瓜,,,,,
清水白玉汤,,,,,
清热冬瓜海带汤,,,,,
冬瓜烧五花肉,,,,,
蘑菇烧豆腐,,,,,
豉香鸡肉焖饭,,,,,
香蒸排骨,,,,,
香菇海米粥,,,,,
芹菜烧香菇,,,,,
葱香南瓜蒸饭,,,,,
豌豆什蔬饭,,,,,
家常粉蒸牛肉,,,,,
香菇烩油菜,,,,,
豆腐煮小油菜,,,,,
青椒拌白菜,,,,,
蒜香蒸白菜,,,,,
